id,submitter,authors,title,comments,journal-ref,doi,report-no,categories,license,abstract,versions,update_date,authors_parsed,abstract_len_chars,abstract_len_words,categories_list,num_authors,has_doi,year
704.1409,Yao Hengshuai,Yao HengShuai,Preconditioned Temporal Difference Learning,"This paper has been withdrawn by the author. Look at the ICML version
  instead: http://icml2008.cs.helsinki.fi/papers/111.pdf",,,,cs.LG cs.AI,,"This paper has been withdrawn by the author. This draft is withdrawn for its
poor quality in english, unfortunately produced by the author when he was just
starting his science route. Look at the ICML version instead:
http://icml2008.cs.helsinki.fi/papers/111.pdf","[{'version': 'v1', 'created': 'Wed, 11 Apr 2007 13:17:01 GMT'}, {'version': 'v2', 'created': 'Thu, 12 Apr 2007 03:33:26 GMT'}, {'version': 'v3', 'created': 'Fri, 8 Jun 2012 14:08:19 GMT'}]",2012-06-11,"[['HengShuai', 'Yao', '']]",263,38,"['cs.LG', 'cs.AI']",1,0,2012
704.1675,Kristina Lerman,Anon Plangprasopchok and Kristina Lerman,Exploiting Social Annotation for Automatic Resource Discovery,"6 pages, submitted to AAAI07 workshop on Information Integration on
  the Web",,,,cs.AI cs.CY cs.DL,,"Information integration applications, such as mediators or mashups, that
require access to information resources currently rely on users manually
discovering and integrating them in the application. Manual resource discovery
is a slow process, requiring the user to sift through results obtained via
keyword-based search. Although search methods have advanced to include evidence
from document contents, its metadata and the contents and link structure of the
referring pages, they still do not adequately cover information sources --
often called ``the hidden Web''-- that dynamically generate documents in
response to a query. The recently popular social bookmarking sites, which allow
users to annotate and share metadata about various information sources, provide
rich evidence for resource discovery. In this paper, we describe a
probabilistic model of the user annotation process in a social bookmarking
system del.icio.us. We then use the model to automatically find resources
relevant to a particular information domain. Our experimental results on data
obtained from \emph{del.icio.us} show this approach as a promising method for
helping automate the resource discovery task.","[{'version': 'v1', 'created': 'Thu, 12 Apr 2007 23:24:19 GMT'}]",2016-09-08,"[['Plangprasopchok', 'Anon', ''], ['Lerman', 'Kristina', '']]",1185,170,"['cs.AI', 'cs.CY', 'cs.DL']",1,0,2016
704.1676,Kristina Lerman,"Kristina Lerman, Anon Plangprasopchok and Chio Wong",Personalizing Image Search Results on Flickr,"12 pages, submitted to AAAI07 workshop on Intelligent Information
  Personalization",,,,cs.IR cs.AI cs.CY cs.DL cs.HC,,"The social media site Flickr allows users to upload their photos, annotate
them with tags, submit them to groups, and also to form social networks by
adding other users as contacts. Flickr offers multiple ways of browsing or
searching it. One option is tag search, which returns all images tagged with a
specific keyword. If the keyword is ambiguous, e.g., ``beetle'' could mean an
insect or a car, tag search results will include many images that are not
relevant to the sense the user had in mind when executing the query. We claim
that users express their photography interests through the metadata they add in
the form of contacts and image annotations. We show how to exploit this
metadata to personalize search results for the user, thereby improving search
performance. First, we show that we can significantly improve search precision
by filtering tag search results by user's contacts or a larger social network
that includes those contact's contacts. Secondly, we describe a probabilistic
model that takes advantage of tag information to discover latent topics
contained in the search results. The users' interests can similarly be
described by the tags they used for annotating their images. The latent topics
found by the model are then used to personalize search results by finding
images on topics that are of interest to the user.","[{'version': 'v1', 'created': 'Thu, 12 Apr 2007 23:31:04 GMT'}]",2007-05-23,"[['Lerman', 'Kristina', ''], ['Plangprasopchok', 'Anon', ''], ['Wong', 'Chio', '']]",1345,221,"['cs.IR', 'cs.AI', 'cs.CY', 'cs.DL', 'cs.HC']",2,0,2007
704.1783,Francesco Santini,"Stefano Bistarelli, Ugo Montanari, Francesca Rossi, Francesco Santini",Unicast and Multicast Qos Routing with Soft Constraint Logic Programming,45 pages,,,,cs.LO cs.AI cs.NI,,"We present a formal model to represent and solve the unicast/multicast
routing problem in networks with Quality of Service (QoS) requirements. To
attain this, first we translate the network adapting it to a weighted graph
(unicast) or and-or graph (multicast), where the weight on a connector
corresponds to the multidimensional cost of sending a packet on the related
network link: each component of the weights vector represents a different QoS
metric value (e.g. bandwidth, cost, delay, packet loss). The second step
consists in writing this graph as a program in Soft Constraint Logic
Programming (SCLP): the engine of this framework is then able to find the best
paths/trees by optimizing their costs and solving the constraints imposed on
them (e.g. delay < 40msec), thus finding a solution to QoS routing problems.
Moreover, c-semiring structures are a convenient tool to model QoS metrics. At
last, we provide an implementation of the framework over scale-free networks
and we suggest how the performance can be improved.","[{'version': 'v1', 'created': 'Fri, 13 Apr 2007 15:53:44 GMT'}, {'version': 'v2', 'created': 'Sun, 29 Apr 2007 15:40:10 GMT'}, {'version': 'v3', 'created': 'Mon, 21 Apr 2008 17:25:06 GMT'}]",2009-09-29,"[['Bistarelli', 'Stefano', ''], ['Montanari', 'Ugo', ''], ['Rossi', 'Francesca', ''], ['Santini', 'Francesco', '']]",1029,163,"['cs.LO', 'cs.AI', 'cs.NI']",4,0,2009
704.201,Juliana Bernardes,"Juliana S Bernardes, Alberto Davila, Vitor Santos Costa, Gerson
  Zaverucha",A study of structural properties on profiles HMMs,"6 pages, 7 figures",,,,cs.AI,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"Motivation: Profile hidden Markov Models (pHMMs) are a popular and very
useful tool in the detection of the remote homologue protein families.
Unfortunately, their performance is not always satisfactory when proteins are
in the 'twilight zone'. We present HMMER-STRUCT, a model construction algorithm
and tool that tries to improve pHMM performance by using structural information
while training pHMMs. As a first step, HMMER-STRUCT constructs a set of pHMMs.
Each pHMM is constructed by weighting each residue in an aligned protein
according to a specific structural property of the residue. Properties used
were primary, secondary and tertiary structures, accessibility and packing.
HMMER-STRUCT then prioritizes the results by voting. Results: We used the SCOP
database to perform our experiments. Throughout, we apply leave-one-family-out
cross-validation over protein superfamilies. First, we used the MAMMOTH-mult
structural aligner to align the training set proteins. Then, we performed two
sets of experiments. In a first experiment, we compared structure weighted
models against standard pHMMs and against each other. In a second experiment,
we compared the voting model against individual pHMMs. We compare method
performance through ROC curves and through Precision/Recall curves, and assess
significance through the paired two tailed t-test. Our results show significant
performance improvements of all structurally weighted models over default
HMMER, and a significant improvement in sensitivity of the combined models over
both the original model and the structurally weighted models.","[{'version': 'v1', 'created': 'Mon, 16 Apr 2007 13:10:35 GMT'}, {'version': 'v2', 'created': 'Thu, 11 Dec 2008 18:47:26 GMT'}]",2008-12-11,"[['Bernardes', 'Juliana S', ''], ['Davila', 'Alberto', ''], ['Costa', 'Vitor Santos', ''], ['Zaverucha', 'Gerson', '']]",1598,227,['cs.AI'],4,0,2008
704.2083,Hassan Satori,"H. Satori, M. Harti and N. Chenfour",Introduction to Arabic Speech Recognition Using CMUSphinx System,"4 pages, 3 figures and 2 tables, was in Information and Communication
  Technologies International Symposium proceeding ICTIS07 Fes (2007)",,,,cs.CL cs.AI,,"In this paper Arabic was investigated from the speech recognition problem
point of view. We propose a novel approach to build an Arabic Automated Speech
Recognition System (ASR). This system is based on the open source CMU Sphinx-4,
from the Carnegie Mellon University. CMU Sphinx is a large-vocabulary;
speaker-independent, continuous speech recognition system based on discrete
Hidden Markov Models (HMMs). We build a model using utilities from the
OpenSource CMU Sphinx. We will demonstrate the possible adaptability of this
system to Arabic voice recognition.","[{'version': 'v1', 'created': 'Tue, 17 Apr 2007 01:04:01 GMT'}]",2007-05-23,"[['Satori', 'H.', ''], ['Harti', 'M.', ''], ['Chenfour', 'N.', '']]",563,84,"['cs.CL', 'cs.AI']",2,0,2007
704.2092,Jinsong Tan,Jinsong Tan,A Note on the Inapproximability of Correlation Clustering,,"Information Processing Letters, 108: 331-335, 2008",,,cs.LG cs.DS,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"We consider inapproximability of the correlation clustering problem defined
as follows: Given a graph $G = (V,E)$ where each edge is labeled either ""+""
(similar) or ""-"" (dissimilar), correlation clustering seeks to partition the
vertices into clusters so that the number of pairs correctly (resp.
incorrectly) classified with respect to the labels is maximized (resp.
minimized). The two complementary problems are called MaxAgree and MinDisagree,
respectively, and have been studied on complete graphs, where every edge is
labeled, and general graphs, where some edge might not have been labeled.
Natural edge-weighted versions of both problems have been studied as well. Let
S-MaxAgree denote the weighted problem where all weights are taken from set S,
we show that S-MaxAgree with weights bounded by $O(|V|^{1/2-\delta})$
essentially belongs to the same hardness class in the following sense: if there
is a polynomial time algorithm that approximates S-MaxAgree within a factor of
$\lambda = O(\log{|V|})$ with high probability, then for any choice of S',
S'-MaxAgree can be approximated in polynomial time within a factor of $(\lambda
+ \epsilon)$, where $\epsilon > 0$ can be arbitrarily small, with high
probability. A similar statement also holds for $S-MinDisagree. This result
implies it is hard (assuming $NP \neq RP$) to approximate unweighted MaxAgree
within a factor of $80/79-\epsilon$, improving upon a previous known factor of
$116/115-\epsilon$ by Charikar et. al. \cite{Chari05}.","[{'version': 'v1', 'created': 'Tue, 17 Apr 2007 03:52:41 GMT'}, {'version': 'v2', 'created': 'Mon, 23 Mar 2009 03:22:02 GMT'}]",2009-03-23,"[['Tan', 'Jinsong', '']]",1498,224,"['cs.LG', 'cs.DS']",1,0,2009
704.2201,Hassan Satori,"H. Satori, M. Harti and N. Chenfour",Arabic Speech Recognition System using CMU-Sphinx4,"5 pages, 3 figures and 2 tables, in French",,,,cs.CL cs.AI,,"In this paper we present the creation of an Arabic version of Automated
Speech Recognition System (ASR). This system is based on the open source
Sphinx-4, from the Carnegie Mellon University. Which is a speech recognition
system based on discrete hidden Markov models (HMMs). We investigate the
changes that must be made to the model to adapt Arabic voice recognition.
  Keywords: Speech recognition, Acoustic model, Arabic language, HMMs,
CMUSphinx-4, Artificial intelligence.","[{'version': 'v1', 'created': 'Tue, 17 Apr 2007 17:04:26 GMT'}]",2007-05-23,"[['Satori', 'H.', ''], ['Harti', 'M.', ''], ['Chenfour', 'N.', '']]",477,71,"['cs.CL', 'cs.AI']",2,0,2007
704.2644,Maxim Raginsky,Maxim Raginsky,"Joint universal lossy coding and identification of stationary mixing
  sources","5 pages, 1 eps figure; to appear in Proc. ISIT 2007",,,,cs.IT cs.LG math.IT,,"The problem of joint universal source coding and modeling, treated in the
context of lossless codes by Rissanen, was recently generalized to fixed-rate
lossy coding of finitely parametrized continuous-alphabet i.i.d. sources. We
extend these results to variable-rate lossy block coding of stationary ergodic
sources and show that, for bounded metric distortion measures, any finitely
parametrized family of stationary sources satisfying suitable mixing,
smoothness and Vapnik-Chervonenkis learnability conditions admits universal
schemes for joint lossy source coding and identification. We also give several
explicit examples of parametric sources satisfying the regularity conditions.","[{'version': 'v1', 'created': 'Fri, 20 Apr 2007 01:25:22 GMT'}]",2007-07-13,"[['Raginsky', 'Maxim', '']]",686,90,"['cs.IT', 'cs.LG', 'math.IT']",1,0,2007
704.2668,Alex Smola J,"Le Song, Alex Smola, Arthur Gretton, Karsten Borgwardt, Justin Bedo",Supervised Feature Selection via Dependence Estimation,9 pages,,,,cs.LG,,"We introduce a framework for filtering features that employs the
Hilbert-Schmidt Independence Criterion (HSIC) as a measure of dependence
between the features and the labels. The key idea is that good features should
maximise such dependence. Feature selection for various supervised learning
problems (including classification and regression) is unified under this
framework, and the solutions can be approximated using a backward-elimination
algorithm. We demonstrate the usefulness of our method on both artificial and
real world datasets.","[{'version': 'v1', 'created': 'Fri, 20 Apr 2007 08:26:29 GMT'}]",2007-05-23,"[['Song', 'Le', ''], ['Smola', 'Alex', ''], ['Gretton', 'Arthur', ''], ['Borgwardt', 'Karsten', ''], ['Bedo', 'Justin', '']]",542,76,['cs.LG'],5,0,2007
704.3157,Giorgio Terracina,"Giorgio Terracina, Nicola Leone, Vincenzino Lio, Claudio Panetta","Experimenting with recursive queries in database and logic programming
  systems",To appear in Theory and Practice of Logic Programming (TPLP),,,,cs.AI cs.DB,,"This paper considers the problem of reasoning on massive amounts of (possibly
distributed) data. Presently, existing proposals show some limitations: {\em
(i)} the quantity of data that can be handled contemporarily is limited, due to
the fact that reasoning is generally carried out in main-memory; {\em (ii)} the
interaction with external (and independent) DBMSs is not trivial and, in
several cases, not allowed at all; {\em (iii)} the efficiency of present
implementations is still not sufficient for their utilization in complex
reasoning tasks involving massive amounts of data. This paper provides a
contribution in this setting; it presents a new system, called DLV$^{DB}$,
which aims to solve these problems. Moreover, the paper reports the results of
a thorough experimental analysis we have carried out for comparing our system
with several state-of-the-art systems (both logic and databases) on some
classical deductive problems; the other tested systems are: LDL++, XSB, Smodels
and three top-level commercial DBMSs. DLV$^{DB}$ significantly outperforms even
the commercial Database Systems on recursive queries. To appear in Theory and
Practice of Logic Programming (TPLP)","[{'version': 'v1', 'created': 'Tue, 24 Apr 2007 10:58:40 GMT'}]",2007-05-23,"[['Terracina', 'Giorgio', ''], ['Leone', 'Nicola', ''], ['Lio', 'Vincenzino', ''], ['Panetta', 'Claudio', '']]",1186,175,"['cs.AI', 'cs.DB']",4,0,2007
704.3359,Alex Smola J,Quoc Le and Alexander Smola,Direct Optimization of Ranking Measures,,,,,cs.IR cs.AI,,"Web page ranking and collaborative filtering require the optimization of
sophisticated performance measures. Current Support Vector approaches are
unable to optimize them directly and focus on pairwise comparisons instead. We
present a new approach which allows direct optimization of the relevant loss
functions. This is achieved via structured estimation in Hilbert spaces. It is
most related to Max-Margin-Markov networks optimization of multivariate
performance measures. Key to our approach is that during training the ranking
problem can be viewed as a linear assignment problem, which can be solved by
the Hungarian Marriage algorithm. At test time, a sort operation is sufficient,
as our algorithm assigns a relevance score to every (document, query) pair.
Experiments show that the our algorithm is fast and that it works very well.","[{'version': 'v1', 'created': 'Wed, 25 Apr 2007 12:36:55 GMT'}]",2007-05-23,"[['Le', 'Quoc', ''], ['Smola', 'Alexander', '']]",841,126,"['cs.IR', 'cs.AI']",1,0,2007
704.3395,Marko A. Rodriguez,Marko A. Rodriguez,General-Purpose Computing on a Semantic Network Substrate,,"Emergent Web Intelligence: Advanced Semantic Technologies,
  Advanced Information and Knowledge Processing series, Springer-Verlag, pages
  57-104, ISBN:978-1-84996-076-2, June 2010",,LA-UR-07-2885,cs.AI cs.PL,http://creativecommons.org/licenses/publicdomain/,"This article presents a model of general-purpose computing on a semantic
network substrate. The concepts presented are applicable to any semantic
network representation. However, due to the standards and technological
infrastructure devoted to the Semantic Web effort, this article is presented
from this point of view. In the proposed model of computing, the application
programming interface, the run-time program, and the state of the computing
virtual machine are all represented in the Resource Description Framework
(RDF). The implementation of the concepts presented provides a practical
computing paradigm that leverages the highly-distributed and standardized
representational-layer of the Semantic Web.","[{'version': 'v1', 'created': 'Wed, 25 Apr 2007 15:37:52 GMT'}, {'version': 'v2', 'created': 'Thu, 4 Oct 2007 20:08:21 GMT'}, {'version': 'v3', 'created': 'Sun, 7 Oct 2007 21:44:01 GMT'}, {'version': 'v4', 'created': 'Sun, 6 Jun 2010 05:29:22 GMT'}]",2010-06-08,"[['Rodriguez', 'Marko A.', '']]",712,98,"['cs.AI', 'cs.PL']",1,0,2010
704.3433,Tshilidzi Marwala,Tshilidzi Marwala and Bodie Crossingham,Bayesian approach to rough set,"20 pages, 3 figures",,,,cs.AI,,"This paper proposes an approach to training rough set models using Bayesian
framework trained using Markov Chain Monte Carlo (MCMC) method. The prior
probabilities are constructed from the prior knowledge that good rough set
models have fewer rules. Markov Chain Monte Carlo sampling is conducted through
sampling in the rough set granule space and Metropolis algorithm is used as an
acceptance criteria. The proposed method is tested to estimate the risk of HIV
given demographic data. The results obtained shows that the proposed approach
is able to achieve an average accuracy of 58% with the accuracy varying up to
66%. In addition the Bayesian rough set give the probabilities of the estimated
HIV status as well as the linguistic rules describing how the demographic
parameters drive the risk of HIV.","[{'version': 'v1', 'created': 'Wed, 25 Apr 2007 19:50:59 GMT'}]",2007-05-23,"[['Marwala', 'Tshilidzi', ''], ['Crossingham', 'Bodie', '']]",806,130,['cs.AI'],1,0,2007
